Area,HOI,Author,Citation,Year,Years of data,Country,Dataset where algorithm was performed,Assessment method,Method for sensitivity,Codes used ,Ages,Algorithm,Sensitivity,PPV,Specificity,PMID,Link
Cardiovascular,Atrial Fibrillation,Navar-Boggan,"Navar-Boggan AM, Rymer JA, Piccini JP, et al. Accuracy and validation of an automated electronic algorithm to identify patients with atrial fibrillation at risk for stroke. Am Heart J. 2015;169(1):39-44.e2. doi:10.1016/j.ahj.2014.09.014",2015,2011-12,US,Duke University Health System,EMR review by clinicians,,427.31 (AF) or 427.32 (atrial flutter),All,1+ codes inpatient or 2+ codes outpatient or emergency department visits,,72 (66-77),,25497246,https://pubmed.ncbi.nlm.nih.gov/25497246/
Cardiovascular,Pulmonary Embolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"(ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient",75 (67–82),71 (63–78),92 (90–93) ,25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Pulmonary Embolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"(ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient, first position",67 (58–74),84 (76–90),97 (95–98) ,25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Pulmonary Embolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.11, 415.19",18+,"1+ codes In-patient, Primary position",,96 (94-98),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Cardiovascular,Pulmonary Embolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.11, 415.19",18+,"1+ codes In-patient, Secondary position",,81 (77-86),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Cardiovascular,Venous Thromboembolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"ICD-9-CM: 451.1, 451.2, 451.8, 451.9, 453.2, 453.8,
and 453.9; ICD-10-CA: I80.2, I80.3, I80.1, I82.8, I80.9,
I82.9, I80.8, O22.3, O22.9, O87.1, ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient",75 (69–80),73 (67–79),94 (92–95) ,25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Venous Thromboembolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"ICD-9-CM: 451.1, 451.2, 451.8, 451.9, 453.2, 453.8,
and 453.9; ICD-10-CA: I80.2, I80.3, I80.1, I82.8, I80.9,
I82.9, I80.8, O22.3, O22.9, O87.1, ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient, first position",62 (56–68),83 (77–88),97 (96–98),25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Venous Thromboembolism,McPeek Hinz,"McPeek Hinz ER, Bastarache L, Denny JC. A natural language processing algorithm to define a venous thromboembolism phenotype. AMIA Annu Symp Proc. 2013;2013:975-983. Published 2013 Nov 16.",2013,199?-2010,US,Vanderbilt University Medical Center Electronic Health Record,Complete medical records reviewed by clinicians,,"??V12.51, 453, 453.0, 453.1, 453.2, 453.4, 453.40,453.41, 453.42, 	453.8, 453.81, 453.82, 453.83, 453.84, 453.85, 453.86, 453.87, 453.89, 453.6, 453.50, 453.75, 453.51, 453.79, 453.77, 453.52, 453.5, 453.82, 453.7, 453.71, 453.73, 453.74, 453.76, 415.1, 415.11, 415.19	",All,1+ codes,,69 (65-73),,24551388,https://pubmed.ncbi.nlm.nih.gov/24551388/
Cardiovascular,Venous Thromboembolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.X, 451.X, 453.X",18+,"1+ codes In-patient, Primary position",,94 (90-97),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Cardiovascular,Venous Thromboembolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.X, 451.X, 453.X",18+,"1+  codes In-patient, Secondary position",,75 (71-80),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
